wikidata,label
Q6684450,"Lost In The Bush (Dodds, 1973)"
Q5293358,"Don Quixote (Nureyev/Helpmann, 1973)"
Q5151242,"Come Out Fighting (Buesst, 1973)"
Q4828080,"Avengers Of The Reef (McCullugh, 1973)"
Q5211523,"Dalmas (Deling, 1973)"
Q4738201,"Alvin Purple (Burstall, 1973)"
Q6927077,"Moving On (Mason, 1974)"
Q117457074,"Matchless (Papadopoulos, 1974)"
Q104875997,"Number 96 (Benardos, 1974)"
Q4632540,"27A (Storm, 1974)"
Q926678,"The Cars That Ate Paris (Weir, 1974)"
Q7618838,"Stone (Harbutt, 1974)"
Q8046466,"Yackety Yack (Jones, 1974)"
Q7178200,"Petersen (Burstall, 1974)"
Q4899130,"Between Wars (Thornhill, 1974)"
Q4738206,"Alvin Rides Again (Bilcock/Copping, 1974)"
Q4864500,"Barry Mckenzie Holds His Own (Beresford, 1974)"
Q7748903,"The Love Epidemic (Smith, 1975)"
Q7734059,"The Firm Man (Duigan, 1975)"
Q7249802,"Promised Woman (Cowan, 1975)"
Q12129827,"The True Story Of Eskimo Nell (Franklin, 1975)"
Q7508363,"Sidecar Racers (Bellamy, 1975)"
Q3503837,"Sunday Too Far Away (Hannam, 1975)"
Q7750035,"The Man From Hong Kong (Smith, 1975)"
Q7737838,"The Great Macarthy (Baker, 1975)"
Q104875525,"The Box (Eddey, 1975)"
Q1421747,"Picnic At Hanging Rock (Weir, 1975)"
Q7261128,"Pure S (Deling, 1975)"
Q15039748,"The Golden Cage (Kuyululu, 1975)"
Q16963692,"How Willingly You Sing (Patterson, 1975)"
Q5303019,"Down The Wind (Mckenzie/Hicks, 1975)"
Q7205267,"Plugg (Bourke, 1975)"
Q7434226,"Scobie Malone (Ohlsson, 1975)"
Q7760180,"The Removalists (Jeffrey, 1975)"
Q117457057,"Solo Flight (Mills, 1975)"
Q7251254,"Protected (Cavadini, 1975)"
Q6035127,"Inn Of The Damned (Bourke, 1975)"
Q7070534,"Nuts, Bolts And Bedroom Springs (Young, 1975)"
Q117457036,"The Lost Islands (Hughes, 1975)"
Q7332514,"Ride A Wild Pony (Chaffey, 1975)"
Q5375802,"End Play (Burstall, 1976)"
Q5016297,"Caddie (Crombie, 1976)"
Q6000394,"Illuminations (Cox, 1976)"
Q4898722,"Betty Blokk-Buster Follies (Batey, 1976)"
Q1257078,"Mad Dog Morgan (Mora, 1976)"
Q7735084,"The Fourth Wish (Chaffey, 1976)"
Q5434158,"Fantasm (Franklin, 1976)"
Q7270879,"Queensland (Ruane, 1976)"
Q7116409,"Oz (Lofven, 1976)"
Q3520601,"The Devil's Playground (Schepisi, 1976)"
Q7770125,"The Trespassers (Duigan, 1976)"
Q7646705,"Surrender In Paradise (Cox, 1976)"
Q5291409,"Don's Party (Beresford, 1976)"
Q958772,"Storm Boy (Safran, 1976)"
Q4861680,"Barney (Waddington, 1976)"
Q5247671,"Deathcheaters (Smith, 1976)"
Q5362135,"Eliza Fraser (Burstall, 1976)"
Q6533067,"Let The Balloon Go (Howes, 1976)"
Q7637519,"Summer Of Secrets (Sharman, 1976)"
Q4959331,"Break Of Day (Hannam, 1976)"
Q7296856,"Raw Deal (Hagg, 1977)"
Q7764395,"The Singer And The Dancer (Armstrong, 1977)"
Q7732966,"The FJ Holden (Thornhill, 1977)"
Q7757054,"The Picture Show Man (Power, 1977)"
Q4839718,"Backroads (Noyce, 1977)"
Q117456999,"Out Of It (Cameron, 1977)"
Q7748932,"The Love-Letters From Teralba Road (Wallace, 1977)"
Q5756374,"High Rolling (Auzins, 1977)"
Q7736240,"The Getting Of Wisdom (Beresford, 1977)"
Q6296331,"Journey Among Women (Cowan, 1977)"
Q6646428,"Listen To The Lion (Safran, 1977)"
Q3503675,"Summerfield (Hannam, 1977)"
Q12125099,"Inside Looking Out (Cox, 1977)"
Q4929113,"Blue Fire Lady (Dimsey, 1977)"
Q7750183,"The Mango Tree (Dobson, 1977)"
Q16833576,"Dot And The Kangaroo (Gross, 1977)"
Q1218841,"The Last Wave (Weir, 1977)"
Q1753929,"Summer City (Fraser, 1977)"
Q5434157,"Fantasm Comes Again (Eggleston, 1977)"
