item,title,director,year
238,The Kid Stakes,Tal Ordell,1927
239,For The Term Of His Natural Life,Norman Dawn,1927
240,Environment,Gerald M. Hayle,1927
241,The Rushing Tide,Gerald M. Hayle,1927
242,The Man Who Forgot,A. R. Harwood,1927
243,The Miner's Daughter,Leo Forbert,1927
244,The Romance Of Runnibede,Scott R. Dunlap,1928
245,The Shattered Illusion,A. G. Harbrow,1928
246,The Menace,Cyril J. Sharpe,1928
247,The Spirit Of Gallipoli,Keith Gategood,1928
247,The Spirit Of Gallipoli,William Green,1928
248,Trooper O'Brien,John Gavin,1928
249,The Adorable Outcast,Norman Dawn,1928
250,Caught In The Net,Vaughan C. Marshall,1928
251,The Far Paradise,Paulette Mcdonagh,1928
252,The Grey Glove,Dunstan Webb,1928
253,The Birth Of White Australia,Phil K. Walsh,1928
254,The Exploits Of The Emden,Ken G. Hall,1928
255,The Russell Affair,P. J. Ramster,1928
256,Odds On,Arthur Higgins,1928
257,The Devil's Playground,Victor Bindley,1928
258,The Kingdom Of Twilight,Alexander Macdonald,1929
259,Tiger Island,Gerald M. Hayle,1930
260,The Cheaters,Paulette Mcdonagh,1930
261,Fellers,Arthur Higgins,1930
261,Fellers,Austin Fay,1930
262,Spur Of The Moment,A. R. Harwood,1931
263,Isle Of Intrigue,A. R. Harwood,1931
264,Diggers,F. W. Thring,1931
265,Showsgirl's Luck,Norman Dawn,1931
266,The Sentimental Bloke,F. W. Thring,1932
267,On Our Selection,Ken G. Hall,1932
268,His Royal Highness,F. W. Thring,1932
269,Diggers In Blighty,Pat Hanna,1933
270,Harmony Row,F. W. Thring,1933
271,In The Wake Of The Bounty,Charles Chauvel,1933
272,The Squatter's Daughter,Ken G. Hall,1933
273,Two Minutes Silence,Paulette Mcdonagh,1933
274,Waltzing Matilda,Pat Hanna,1933
275,The Hayseeds,Beaumont Smith,1933
276,A Ticket In Tatts,F. W. Thring,1934
277,Secret Of The Skies,A. R. Harwood,1934
278,The Silence Of Dean Maitland,Ken G. Hall,1934
279,The Man They Could Not Hang,Raymond Longford,1934
280,When The Kellys Rode,Harry Southwell,1934
281,Clara Gibbings,F. W. Thring,1934
282,Strike Me Lucky,Ken G. Hall,1934
283,Splendid Fellows,Beaumont Smith,1934
284,The Streets Of London,F. W. Thring,1934
285,Grandad Rudd,Ken G. Hall,1935
286,Heritage,Charles Chauvel,1935
287,The Burgomeister,Harry Southwell,1935
287,Hypnotised,Harry Southwell,1935
288,Thoroughbred,Ken G. Hall,1936
289,The Flying Doctor,Miles Mander,1936
290,Uncivilised,Charles Chauvel,1936
291,White Death,Edwin G. Bowen,1936
292,Orphan Of The Wilderness,Ken G. Hall,1936
293,Rangle River,Clarence Badger,1936
294,It Isn't Done,Ken G. Hall,1937
295,Mystery Island,J. A. Lipman,1937
296,Phantom Gold,Rupert Kathner,1937
297,Tall Timbers,Ken G. Hall,1937
298,The Avenger,A. R. Harwood,1937
299,Lovers And Luggers,Ken G. Hall,1937
300,The Broken Melody,Ken G. Hall,1938
301,Let George Do It,Ken G. Hall,1938
302,Show Business,A. R. Harwood,1938
303,Typhoon Treasure,Noel Monkman,1938
303,The Perils Of Pakema Reef,Noel Monkman,1938
304,Dad And Dave Come To Town,Ken G. Hall,1938
305,Below The Surface,Rupert Kathner,1938
306,Mr Chedworth Steps Out,Ken G. Hall,1939
307,Gone To The Dogs,Ken G. Hall,1939
308,Come Up Smiling,William Freshman,1939
308,Ants In His Pants,William Freshman,1939
309,Seven Little Australians,Arthur Greville Collins,1939
310,"Dad Rudd, M.P.",Ken G. Hall,1940
311,Wings Of Destiny,Rupert Kathner,1940
312,Forty Thousand Horsemen,Charles Chauvel,1940
313,That Certain Something,Clarence Badger,1941
314,The Power And The Glory,Noel Monkman,1941
314,The Invaders,Noel Monkman,1941
315,Racing Luck,Rupert Kathner,1941
316,A Yank In Australia,Alf Goulding,1942
317,The Rats Of Tobruk,Charles Chauvel,1944
318,Red Sky At Morning,Hartney Arthur,1944
318,Escape At Dawn,Hartney Arthur,1944
319,Harvest Gold,Mervyn Murphy,1945
320,Smithy,Ken G. Hall,1946
321,A Son Is Born,Eric Porter,1946
322,The Overlanders,Harry Watt,1946
323,Bush Christmas,Ralph Smart,1947
324,Always Another Dawn,T. O. McCreadie,1947
325,Eureka Stockade,Harry Watt,1949
326,Strong Is The Seed,Arthur Greville Collins,1949
326,The Farrer Story,Arthur Greville Collins,1949
327,Into The Straight,T. O. McCreadie,1949
328,Sons Of Matthew,Charles Chauvel,1949
329,Bitter Springs,Ralph Smart,1950
330,The Kangaroo Kid,Lesley Selander,1950
331,Wherever She Goes,Michael S. Gordon,1951
332,The Glenrowan Affair,Rupert Kathner,1951
333,Mike And Stefani,R. Maslyn Williams,1952
334,Kangaroo,Lewis Milestone,1952
335,Night Club,A. R. Harwood,1952
336,Captain Thunderbolt,Cecil Holmes,1953
337,The Phantom Stockman,Lee Robinson,1953
338,King Of The Coral Sea,Lee Robinson,1954
339,The Back Of Beyond,John Heyer,1954
340,Long John Silver.,Byron Haskin,1954
341,Jedda,Charles Chauvel,1955
342,Smiley,Anthony Kimmins,1956
343,Walk Into Paradise,Lee Robinson,1956
343,Walk Into Paradise,Marcel Pagliero,1956
344,Three In One,Cecil Holmes,1957
345,The Shiralee,Leslie Norman,1957
346,Robbery Under Arms,Jack Lee,1957
347,The Stowaway,Lee Robinson,1958
347,The Stowaway,Ralph Habib,1958
348,Smiley Gets A Gun,Anthony Kimmins,1958
349,Dust In The Sun,Lee Robinson,1958
350,The Restless And The Damned,Yves Allegret,1959
351,Summer Of The Seventeenth Doll,Leslie Norman,1959
352,On The Beach,Stanley Kramer,1959
353,The Siege Of Pinchgut,Harry Watt,1959
354,Shadow Of The Boomerang,Dick Ross,1960
355,The Sundowners,Fred Zinnemann,1960
356,Bungala Boys,Jim Jeffrey,1961
357,They Found A Cave,Andrew Steane,1962
358,Clay,Giorgio Mangiamele,1965
359,Funny Things Happen Down Under,Joe McCormick,1965
360,They're A Weird Mob,Michael Powell,1966
361,Pudding Thieves,Brian Davies,1967
362,Journey Out Of Darkness,James Trainor,1967
363,Time In Summer,Ludwik Dutkiewicz,1968
364,Koya No Toseinin,Junya Sato,1968
364,The Drifting Avenger,Junya Sato,1968
365,Moeru Tairiku,Shogoro Nishimura,1968
365,Blazing Continent,Shogoro Nishimura,1968
366,You Can't See 'Round Corners,David Cahill,1969
367,Age Of Consent,Michael Powell,1969
